category_id,category_name
1,Category_1
2,Category_2
3,Category_3
4,Category_4
5,Category_5
6,Category_6
7,Category_7
8,Category_8
9,Category_9
10,Category_10
11,Category_11
12,Category_12
13,Category_13
14,Category_14
15,Category_15
16,Category_16
17,Category_17
18,Category_18
19,Category_19
20,Category_20
21,Category_21
22,Category_22
23,Category_23
24,Category_24
25,Category_25
26,Category_26
27,Category_27
28,Category_28
29,Category_29
30,Category_30
31,Category_31
32,Category_32
33,Category_33
34,Category_34
35,Category_35
36,Category_36
37,Category_37
38,Category_38
39,Category_39
40,Category_40
41,Category_41
42,Category_42
43,Category_43
44,Category_44
45,Category_45
46,Category_46
47,Category_47
48,Category_48
49,Category_49
50,Category_50
