department_id,department_name
1,Department_1
2,Department_2
3,Department_3
4,Department_4
5,Department_5
6,Department_6
7,Department_7
8,Department_8
9,Department_9
10,Department_10
11,Department_11
12,Department_12
13,Department_13
14,Department_14
15,Department_15
16,Department_16
17,Department_17
18,Department_18
19,Department_19
20,Department_20
21,Department_21
22,Department_22
23,Department_23
24,Department_24
25,Department_25
26,Department_26
27,Department_27
28,Department_28
29,Department_29
30,Department_30
31,Department_31
32,Department_32
33,Department_33
34,Department_34
35,Department_35
36,Department_36
37,Department_37
38,Department_38
39,Department_39
40,Department_40
41,Department_41
42,Department_42
43,Department_43
44,Department_44
45,Department_45
46,Department_46
47,Department_47
48,Department_48
49,Department_49
50,Department_50
