order_item_id,order_id,product_id,quantity,unit_price
1,5036,16,3,4099
2,5009,31,8,1897
3,5013,40,8,2335
4,5027,50,5,3670
5,5043,5,4,4078
6,5025,30,5,337
7,5044,27,9,3285
8,5048,41,8,2853
9,5012,37,4,5579
10,5040,13,5,5663
11,5037,46,8,6638
12,5020,45,2,3412
13,5026,25,5,6032
14,5036,32,4,1452
15,5001,26,5,6985
16,5020,16,6,3928
17,5019,10,6,7632
18,5014,42,9,1145
19,5028,45,2,5197
20,5038,1,3,4475
21,5039,49,3,320
22,5042,50,4,7529
23,5021,7,7,3327
24,5030,50,3,4948
25,5029,28,4,4723
26,5029,15,2,5531
27,5044,12,7,322
28,5014,45,7,787
29,5033,34,6,5365
30,5031,30,9,3611
31,5048,4,8,1211
32,5011,36,7,7201
33,5043,16,1,3882
34,5006,8,4,1588
35,5019,30,7,511
36,5033,9,7,2231
37,5043,30,10,3205
38,5041,43,1,2781
39,5040,34,10,1833
40,5022,36,7,3824
41,5006,39,8,2777
42,5049,21,1,2864
43,5016,49,6,6335
44,5044,29,5,7306
45,5020,40,7,3205
46,5015,47,7,2379
47,5013,33,9,6260
48,5010,28,9,7892
49,5002,36,10,6915
50,5003,29,4,3553
