order_id,customer_id,order_date,order_status,total_amount
5001,46,2024-01-01,Delivered,17618
5002,22,2024-01-02,Pending,12202
5003,14,2024-01-03,Shipped,38549
5004,44,2024-01-04,Pending,17897
5005,41,2024-01-05,Shipped,3007
5006,17,2024-01-06,Shipped,7604
5007,33,2024-01-07,Delivered,39596
5008,32,2024-01-08,Delivered,28979
5009,17,2024-01-09,Delivered,23154
5010,4,2024-01-10,Delivered,48245
5011,6,2024-01-11,Pending,21057
5012,41,2024-01-12,Delivered,29099
5013,28,2024-01-13,Delivered,40228
5014,18,2024-01-14,Shipped,34016
5015,3,2024-01-15,Pending,8078
5016,1,2024-01-16,Pending,25744
5017,22,2024-01-17,Shipped,38287
5018,50,2024-01-18,Shipped,12957
5019,9,2024-01-19,Delivered,17193
5020,41,2024-01-20,Pending,3408
5021,17,2024-01-21,Delivered,46950
5022,11,2024-01-22,Shipped,29077
5023,48,2024-01-23,Delivered,610
5024,29,2024-01-24,Pending,34573
5025,36,2024-01-25,Delivered,35787
5026,46,2024-01-26,Pending,45513
5027,28,2024-01-27,Delivered,47648
5028,36,2024-01-28,Delivered,49124
5029,1,2024-01-29,Pending,48802
5030,8,2024-01-30,Pending,44450
5031,5,2024-01-31,Pending,13412
5032,45,2024-02-01,Delivered,24369
5033,10,2024-02-02,Delivered,28765
5034,35,2024-02-03,Delivered,5085
5035,3,2024-02-04,Shipped,44031
5036,24,2024-02-05,Delivered,22139
5037,38,2024-02-06,Pending,41339
5038,36,2024-02-07,Pending,21072
5039,10,2024-02-08,Pending,43975
5040,28,2024-02-09,Delivered,8667
5041,9,2024-02-10,Pending,47669
5042,3,2024-02-11,Pending,20181
5043,20,2024-02-12,Shipped,33734
5044,24,2024-02-13,Shipped,20769
5045,3,2024-02-14,Pending,44205
5046,23,2024-02-15,Shipped,27264
5047,14,2024-02-16,Shipped,21876
5048,44,2024-02-17,Pending,26871
5049,16,2024-02-18,Delivered,46192
5050,43,2024-02-19,Delivered,19876
