payment_id,order_id,payment_method,payment_status
1,5017,Cash,Success
2,5006,UPI,Pending
3,5031,UPI,Pending
4,5002,Cash,Success
5,5048,Cash,Pending
6,5035,Cash,Failed
7,5004,UPI,Failed
8,5023,UPI,Failed
9,5015,Cash,Pending
10,5042,Card,Pending
11,5005,Cash,Success
12,5050,Cash,Pending
13,5042,UPI,Pending
14,5003,Cash,Success
15,5049,UPI,Pending
16,5002,Card,Success
17,5016,Cash,Pending
18,5013,Card,Pending
19,5002,Cash,Pending
20,5040,Card,Pending
21,5010,UPI,Failed
22,5016,Cash,Failed
23,5009,Cash,Pending
24,5031,Card,Failed
25,5043,UPI,Success
26,5008,Card,Failed
27,5037,Card,Success
28,5014,UPI,Success
29,5030,Card,Success
30,5045,Card,Failed
31,5017,Cash,Pending
32,5050,Card,Pending
33,5024,Cash,Failed
34,5011,UPI,Success
35,5039,Card,Failed
36,5039,UPI,Pending
37,5048,Cash,Failed
38,5046,Cash,Failed
39,5008,Cash,Pending
40,5050,Card,Pending
41,5011,Cash,Success
42,5020,Cash,Success
43,5007,Card,Pending
44,5038,Card,Success
45,5002,Card,Pending
46,5020,Cash,Failed
47,5037,Cash,Success
48,5044,Card,Pending
49,5025,Card,Failed
50,5026,UPI,Failed
