product_id,product_name,category_id,supplier_id,cost_price,selling_price
1,Product_1,25,10,1395,2630
2,Product_2,18,17,3816,2440
3,Product_3,30,9,126,1124
4,Product_4,41,16,2257,3369
5,Product_5,24,48,4200,772
6,Product_6,11,36,1563,5419
7,Product_7,24,35,4258,5137
8,Product_8,23,17,971,2485
9,Product_9,14,48,2544,5420
10,Product_10,43,38,4258,2404
11,Product_11,18,28,1729,658
12,Product_12,45,38,1352,1181
13,Product_13,44,26,3163,6398
14,Product_14,42,24,1423,5769
15,Product_15,5,15,4518,1082
16,Product_16,39,9,4444,2475
17,Product_17,41,33,104,1152
18,Product_18,11,32,2755,857
19,Product_19,35,6,4102,7642
20,Product_20,47,49,259,3306
21,Product_21,16,4,1016,1180
22,Product_22,11,8,3073,4811
23,Product_23,30,10,2619,2549
24,Product_24,25,41,2061,2881
25,Product_25,18,11,574,6080
26,Product_26,41,44,2073,4576
27,Product_27,45,28,4747,2355
28,Product_28,36,39,745,5017
29,Product_29,15,5,801,1683
30,Product_30,44,25,4081,6525
31,Product_31,21,25,666,7828
32,Product_32,50,39,4463,5277
33,Product_33,50,30,1130,5320
34,Product_34,4,34,1151,4472
35,Product_35,15,17,3993,2590
36,Product_36,3,36,4603,7027
37,Product_37,21,1,1452,4474
38,Product_38,26,44,2271,7215
39,Product_39,18,47,4422,3934
40,Product_40,5,8,3566,2159
41,Product_41,14,44,1835,1372
42,Product_42,37,35,4517,1394
43,Product_43,46,49,1747,5998
44,Product_44,21,18,2653,4131
45,Product_45,14,50,3368,3502
46,Product_46,42,42,3159,4069
47,Product_47,32,22,3688,3967
48,Product_48,26,8,4339,4425
49,Product_49,42,19,3798,7676
50,Product_50,30,28,1091,6572
