shipment_id,order_id,shipment_status
1,5024,Delivered
2,5031,Pending
3,5036,Shipped
4,5034,Pending
5,5023,Delivered
6,5028,Pending
7,5048,Shipped
8,5036,Delivered
9,5022,Delivered
10,5023,Pending
11,5045,Shipped
12,5030,Shipped
13,5018,Shipped
14,5020,Shipped
15,5017,Shipped
16,5015,Delivered
17,5008,Delivered
18,5047,Shipped
19,5013,Shipped
20,5021,Delivered
21,5008,Delivered
22,5048,Shipped
23,5035,Shipped
24,5049,Delivered
25,5045,Pending
26,5012,Pending
27,5013,Pending
28,5014,Delivered
29,5048,Delivered
30,5031,Delivered
31,5018,Pending
32,5047,Shipped
33,5038,Delivered
34,5049,Delivered
35,5034,Delivered
36,5039,Pending
37,5019,Shipped
38,5007,Pending
39,5013,Pending
40,5019,Pending
41,5015,Delivered
42,5024,Pending
43,5012,Shipped
44,5020,Shipped
45,5001,Shipped
46,5046,Shipped
47,5035,Pending
48,5009,Shipped
49,5018,Shipped
50,5003,Pending
