supplier_id,supplier_name,city
1,Supplier_1,Hyderabad
2,Supplier_2,Hyderabad
3,Supplier_3,Chennai
4,Supplier_4,Bangalore
5,Supplier_5,Bangalore
6,Supplier_6,Bangalore
7,Supplier_7,Hyderabad
8,Supplier_8,Hyderabad
9,Supplier_9,Mumbai
10,Supplier_10,Hyderabad
11,Supplier_11,Hyderabad
12,Supplier_12,Hyderabad
13,Supplier_13,Bangalore
14,Supplier_14,Bangalore
15,Supplier_15,Hyderabad
16,Supplier_16,Bangalore
17,Supplier_17,Mumbai
18,Supplier_18,Bangalore
19,Supplier_19,Mumbai
20,Supplier_20,Chennai
21,Supplier_21,Hyderabad
22,Supplier_22,Bangalore
23,Supplier_23,Mumbai
24,Supplier_24,Chennai
25,Supplier_25,Chennai
26,Supplier_26,Bangalore
27,Supplier_27,Bangalore
28,Supplier_28,Chennai
29,Supplier_29,Hyderabad
30,Supplier_30,Hyderabad
31,Supplier_31,Mumbai
32,Supplier_32,Hyderabad
33,Supplier_33,Chennai
34,Supplier_34,Chennai
35,Supplier_35,Chennai
36,Supplier_36,Hyderabad
37,Supplier_37,Mumbai
38,Supplier_38,Hyderabad
39,Supplier_39,Mumbai
40,Supplier_40,Hyderabad
41,Supplier_41,Chennai
42,Supplier_42,Chennai
43,Supplier_43,Bangalore
44,Supplier_44,Hyderabad
45,Supplier_45,Hyderabad
46,Supplier_46,Bangalore
47,Supplier_47,Chennai
48,Supplier_48,Hyderabad
49,Supplier_49,Bangalore
50,Supplier_50,Hyderabad
